Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
1.60,53,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,4,Không,1,Không
1.55,60,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,5,2,Không,1,Không
1.55,60,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,5,2,Không,1,Không
1.60,50,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,9,3,Không,1,Không
1.52,53,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,8,1,Không,6,Không
1.67,55,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8,4,Không,3,Không
1.78,65,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Trung bình,Có,10,1,Không,1,Không
1.78,58,3,Không ?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Nhi?u,Có,7,5,Không,4,Không
1.68,57,4,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Có,8,3,Không,2,Không
1.65,52,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,7,5,Không,1,Không
1.54,49,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,Trên 3 gi?,G?n nh? không,Trung bình,Không,6,3,Không,1,Không
1.70,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,8,5,Không,3,Không
1.65,60,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Có,8,3,Không,3,Không
1.55,58,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Có,8,3,Không,2,Không
1.60,49,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,2,4,Không,1,Không
1.50,50,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,1,Không,2,Không
1.59,48,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,12,3,Không,3,Không
1.56,56,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,5,3,Không,5,Không
1.73,93,2,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,Trên 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6,3,Không,3,Không
1.58,43,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,12,2,Có,3,Không
1.59,65,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,7,Không
1.43,40,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,12,3,Không,8,Không
1.51,43,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,5,Không
1.68,69,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Có,6,Không
1.60,49,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Nhi?u,Không,7,3,Không,4,Không
1.55,40,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.54,37,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,3,Không,6,Không
1.65,50,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,2,Không,3,Không
1.55,43,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,10,2,Không,1,Không
1.60,53,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,7,3,Không,5,Không
1.55,37,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Th??ng xuyên,Có,9,1,Không,5,Không
1.61,50,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6,3,Không,10,Không
1.71,60,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,2,Không,4,Không
1.52,43,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,3,Không,6,Không
1.60,50,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,6,3,Không,8,Không
1.62,59,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,9,3,Không,3,Không
1.60,53,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,8,3,Có,5,Không
1.57,40,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,9,2,Không,10,Không
1.58,45,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,10,2,Không,8,Không
1.75,58,4,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,9,3,Không,5,Không
1.70,62,2,Không ?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Có,5,Không
1.79,59,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,8,1,Không,5,Không
1.53,41,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,7,3,Không,7,Không
1.62,52,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,2,Không,3,Không
1.58,46,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,1,Không,4,Không
1.52,38,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,10,3,Không,5,Không
1.60,55,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Không,Không,6,3,Có,6,Không
1.77,77,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,8,3,Có,7,Không
1.57,43,3,M?i ngày,M?i ngày,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,12,1,Không,6,Không
1.61,48,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,Trên 4 gi?,Không,Không,7,3,Có,18,Không
1.67,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,9,3,Có,6,Không
1.64,48,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,2,Không,4,Không
1.50,50,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,1,Không,4,Không
1.65,51,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Ít,Không,10,3,Có,5,Không
1.52,47,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,10,1,Không,4,Không
1.58,42,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Ít,Không,5,3,Không,4,Không
1.60,45,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,3,Không,3,Không
1.55,80,4,M?i ngày,M?i ngày,M?i ngày,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,12,1,Có,6,Không
1.77,51,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Có,3,Không
1.70,53,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,2,Có,3,Không
1.63,50,4,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,7,2,Có,2,Không
1.55,41,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,3,Không,3,Không
1.58,47,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,3,Không,3,Không
1.58,45,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,3,Không,2,Không
1.52,45,4,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Không,2,Không
1.63,50,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,9,3,Có,3,Không
1.60,48,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,9,3,Không,3,Không
1.65,50,4,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,1,Không,2,Không
1.60,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,5,3,Không,4,Không
1.62,43,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,2,Không,2,Không
1.50,40,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,7,2,Không,2,Không
1.52,42,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Có,6,Không
1.70,57,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,Trên 4 gi?,Không,Không,8,3,Không,3,Không
1.60,55,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,Trên 4 gi?,Không,Không,6,3,Không,2,Không
1.62,45,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,9,2,Có,5,Không
1.59,60,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,1,Không,2,Không
1.56,37,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Có,5,Không
1.50,45,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Có,5,Không
1.60,47,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,9,3,Có,6,Không
1.59,46,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,4,Không,2,Không
1.66,53,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,M?i ngày,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,8,2,Không,6,Không
1.62,47,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6,2,Không,2,Có
1.61,44,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,7,2,Không,5,Không
1.57,56,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,8,2,Không,5,Không
1.56,43,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,6,3,Không,8,Không
1.64,44,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,2,Có,5,Không
1.65,44,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,2,Không,3,Không
1.52,44,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,9,4,Không,6,Không
1.75,52,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,8,3,Không,3,Không
1.60,47,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,9,1,Không,4,Có
1.52,43,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,4,Có
1.70,65,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7,4,Không,5,Không
1.56,44,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7,3,Không,4,Không
1.65,55,4,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7,3,Có,5,Không
1.73,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,Trên 3 gi?,T? 2 - 4 gi?,Trung bình,Không,8,3,Không,5,Không
1.70,48,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Trung bình,Có,8,3,Không,3,Không
1.68,61,4,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,2,Không,3,Không
1.78,74,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Có,8,4,Không,7,Không
1.73,70,3,M?i ngày,T? 3 - 6 b?a/tu?n,M?i ngày,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Trung bình,Có,8,4,Không,7,Không
1.62,60,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.58,50,2,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Trung bình,Có,8,3,Không,3,Không
1.64,53,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,1,Không,7,Không
1.65,50,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,1,Không,2,Không
1.72,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,1,Không
1.63,47,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,1,Không
1.70,65,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,5,Không
1.63,53,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,10,3,Không,2,Không
1.64,70,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,10,3,Không,2,Không
1.57,38,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,8,1,Không,5,Không
1.60,63,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,2,Không,2,Không
1.60,52,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,3,3,Không,4,Không
1.58,44,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,2,Không,4,Không
1.58,42,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,1,Không,5,Không
1.64,50,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Trung bình,Có,8,3,Không,5,Không
